UID,Month,Longitude,Latitude,Crime_type
182,2020-01,0.174477,51.560314,Theft from the person
304,2020-01,0.148434,51.559364,Theft from the person
511,2020-01,0.113487,51.552741,Theft from the person
547,2020-01,0.127337,51.549991,Theft from the person
548,2020-01,0.123918,51.547517,Theft from the person
605,2020-01,0.163569,51.547827,Theft from the person
626,2020-01,0.165546,51.54511,Theft from the person
693,2020-01,0.094362,51.545575,Theft from the person
705,2020-01,0.100512,51.540367,Theft from the person
706,2020-01,0.093614,51.538386,Theft from the person
759,2020-01,0.124632,51.539608,Theft from the person
793,2020-01,0.148862,51.542422,Theft from the person
794,2020-01,0.148862,51.542422,Theft from the person
835,2020-01,0.147969,51.541234,Theft from the person
883,2020-01,0.163446,51.539456,Theft from the person
930,2020-01,0.148373,51.541226,Theft from the person
997,2020-01,0.080477,51.539024,Theft from the person
998,2020-01,0.080477,51.539024,Theft from the person
999,2020-01,0.079453,51.539321,Theft from the person
1000,2020-01,0.080477,51.539024,Theft from the person
1001,2020-01,0.080477,51.539024,Theft from the person
1002,2020-01,0.080477,51.539024,Theft from the person
1003,2020-01,0.080477,51.539024,Theft from the person
1004,2020-01,0.080477,51.539024,Theft from the person
1005,2020-01,0.080477,51.539024,Theft from the person
1006,2020-01,0.080477,51.539024,Theft from the person
1041,2020-01,0.072566,51.540108,Theft from the person
1147,2020-01,0.080758,51.538848,Theft from the person
1148,2020-01,0.080059,51.53744,Theft from the person
1149,2020-01,0.076225,51.537786,Theft from the person
1150,2020-01,0.076951,51.536326,Theft from the person
1151,2020-01,0.081352,51.538919,Theft from the person
1152,2020-01,0.081891,51.538414,Theft from the person
1153,2020-01,0.081352,51.538919,Theft from the person
1154,2020-01,0.080059,51.53744,Theft from the person
1155,2020-01,0.081891,51.538414,Theft from the person
1156,2020-01,0.077044,51.537106,Theft from the person
1157,2020-01,0.076951,51.536326,Theft from the person
1158,2020-01,0.081352,51.538919,Theft from the person
1159,2020-01,0.081891,51.538414,Theft from the person
1160,2020-01,0.080059,51.53744,Theft from the person
1161,2020-01,0.077044,51.537106,Theft from the person
1162,2020-01,0.079435,51.536722,Theft from the person
1216,2020-01,0.087049,51.538296,Theft from the person
1241,2020-01,0.084145,51.541333,Theft from the person
1242,2020-01,0.082375,51.54015,Theft from the person
1266,2020-01,0.089003,51.536579,Theft from the person
1313,2020-01,0.11,51.537534,Theft from the person
1349,2020-01,0.104647,51.534033,Theft from the person
1350,2020-01,0.111342,51.532897,Theft from the person
1414,2020-01,0.123579,51.535266,Theft from the person
1669,2020-01,0.155572,51.528774,Theft from the person
1670,2020-01,0.145969,51.516495,Theft from the person
1794,2020-01,0.099509,51.528928,Theft from the person
1830,2020-01,0.122489,51.531671,Theft from the person
1924,2020-01,-0.203575,51.655735,Theft from the person
1960,2020-01,-0.200225,51.653813,Theft from the person
2015,2020-01,-0.167356,51.653683,Theft from the person
2075,2020-01,-0.158028,51.64842,Theft from the person
2199,2020-01,-0.183373,51.645029,Theft from the person
2330,2020-01,-0.184718,51.629817,Theft from the person
2397,2020-01,-0.1752,51.630793,Theft from the person
2501,2020-01,-0.150535,51.622278,Theft from the person
2614,2020-01,-0.177712,51.622191,Theft from the person
2846,2020-01,-0.239013,51.606383,Theft from the person
2915,2020-01,-0.249326,51.614225,Theft from the person
2916,2020-01,-0.246952,51.614747,Theft from the person
3035,2020-01,-0.276436,51.612729,Theft from the person
3036,2020-01,-0.276436,51.612729,Theft from the person
3037,2020-01,-0.276436,51.612729,Theft from the person
3038,2020-01,-0.275983,51.612875,Theft from the person
3039,2020-01,-0.275983,51.612875,Theft from the person
3040,2020-01,-0.276436,51.612729,Theft from the person
3070,2020-01,-0.274935,51.611178,Theft from the person
3147,2020-01,-0.176434,51.613718,Theft from the person
3148,2020-01,-0.177031,51.61611,Theft from the person
3168,2020-01,-0.179864,51.611379,Theft from the person
3229,2020-01,-0.175917,51.615086,Theft from the person
3230,2020-01,-0.175497,51.614018,Theft from the person
3291,2020-01,-0.253295,51.615822,Theft from the person
3307,2020-01,-0.249025,51.611541,Theft from the person
3344,2020-01,-0.144516,51.605494,Theft from the person
3390,2020-01,-0.155137,51.607459,Theft from the person
3580,2020-01,-0.252128,51.598809,Theft from the person
3600,2020-01,-0.212897,51.595881,Theft from the person
3715,2020-01,-0.248763,51.604083,Theft from the person
3753,2020-01,-0.175766,51.598655,Theft from the person
3848,2020-01,-0.198535,51.595769,Theft from the person
3849,2020-01,-0.198535,51.595769,Theft from the person
4057,2020-01,-0.234045,51.601192,Theft from the person
4250,2020-01,-0.186109,51.58333,Theft from the person
4548,2020-01,-0.213773,51.574645,Theft from the person
4647,2020-01,-0.197973,51.572776,Theft from the person
4648,2020-01,-0.197973,51.572776,Theft from the person
4667,2020-01,-0.19406,51.571745,Theft from the person
4700,2020-01,-0.21276,51.558542,Theft from the person
4701,2020-01,-0.213587,51.556199,Theft from the person
4702,2020-01,-0.2148,51.556919,Theft from the person
4861,2020-01,-0.224537,51.576166,Theft from the person
4862,2020-01,-0.224537,51.576166,Theft from the person
4863,2020-01,-0.224668,51.577643,Theft from the person
4864,2020-01,-0.224537,51.576166,Theft from the person
4865,2020-01,-0.224537,51.576166,Theft from the person
4866,2020-01,-0.224537,51.576166,Theft from the person
4867,2020-01,-0.224537,51.576166,Theft from the person
4868,2020-01,-0.224537,51.576166,Theft from the person
4869,2020-01,-0.224537,51.576166,Theft from the person
4870,2020-01,-0.224537,51.576166,Theft from the person
4871,2020-01,-0.224537,51.576166,Theft from the person
4872,2020-01,-0.224537,51.576166,Theft from the person
4873,2020-01,-0.224537,51.576166,Theft from the person
4874,2020-01,-0.224537,51.576166,Theft from the person
4937,2020-01,-0.216573,51.571334,Theft from the person
5327,2020-01,0.180653,51.480369,Theft from the person
5472,2020-01,0.16191,51.478432,Theft from the person
5718,2020-01,0.19027,51.467977,Theft from the person
5960,2020-01,0.182044,51.463949,Theft from the person
6026,2020-01,0.14061,51.457204,Theft from the person
6105,2020-01,0.146649,51.455835,Theft from the person
6106,2020-01,0.15076,51.455714,Theft from the person
6309,2020-01,0.148733,51.457289,Theft from the person
6671,2020-01,0.14697,51.442123,Theft from the person
7050,2020-01,-0.282952,51.595452,Theft from the person
7070,2020-01,-0.253242,51.586345,Theft from the person
7099,2020-01,-0.262925,51.585652,Theft from the person
7118,2020-01,-0.264038,51.592053,Theft from the person
7176,2020-01,-0.277921,51.585316,Theft from the person
7189,2020-01,-0.280311,51.584712,Theft from the person
7211,2020-01,-0.279961,51.585202,Theft from the person
7311,2020-01,-0.263916,51.571387,Theft from the person
7455,2020-01,-0.324187,51.564422,Theft from the person
7503,2020-01,-0.321994,51.575397,Theft from the person
7576,2020-01,-0.275835,51.564918,Theft from the person
7577,2020-01,-0.275835,51.564918,Theft from the person
7597,2020-01,-0.264434,51.564992,Theft from the person
7626,2020-01,-0.240151,51.567247,Theft from the person
7658,2020-01,-0.24017,51.56375,Theft from the person
7948,2020-01,-0.252207,51.56178,Theft from the person
8185,2020-01,-0.211212,51.552755,Theft from the person
8211,2020-01,-0.316796,51.555153,Theft from the person
8248,2020-01,-0.272091,51.558631,Theft from the person
8249,2020-01,-0.278645,51.560795,Theft from the person
8332,2020-01,-0.279666,51.556701,Theft from the person
8333,2020-01,-0.280243,51.558589,Theft from the person
8371,2020-01,-0.281998,51.561807,Theft from the person
8372,2020-01,-0.281998,51.561807,Theft from the person
8469,2020-01,-0.297937,51.551833,Theft from the person
8484,2020-01,-0.30018,51.552791,Theft from the person
8495,2020-01,-0.291391,51.556378,Theft from the person
8518,2020-01,-0.276323,51.546293,Theft from the person
8585,2020-01,-0.294385,51.553858,Theft from the person
8586,2020-01,-0.296325,51.552888,Theft from the person
8756,2020-01,-0.230804,51.545606,Theft from the person
8809,2020-01,-0.228677,51.546887,Theft from the person
8810,2020-01,-0.228677,51.546887,Theft from the person
8811,2020-01,-0.220589,51.548284,Theft from the person
8812,2020-01,-0.225117,51.547588,Theft from the person
8992,2020-01,-0.238393,51.546269,Theft from the person
9063,2020-01,-0.254381,51.542281,Theft from the person
9083,2020-01,-0.247709,51.542155,Theft from the person
9101,2020-01,-0.251275,51.546938,Theft from the person
9170,2020-01,-0.283293,51.542339,Theft from the person
9192,2020-01,-0.296035,51.551769,Theft from the person
9193,2020-01,-0.296035,51.551769,Theft from the person
9213,2020-01,-0.256982,51.540657,Theft from the person
9276,2020-01,-0.286413,51.530704,Theft from the person
9277,2020-01,-0.26797,51.533059,Theft from the person
9341,2020-01,-0.200133,51.543278,Theft from the person
9342,2020-01,-0.198453,51.541643,Theft from the person
9410,2020-01,-0.195809,51.539219,Theft from the person
9411,2020-01,-0.196683,51.540815,Theft from the person
9479,2020-01,-0.296442,51.545507,Theft from the person
9501,2020-01,-0.303402,51.538684,Theft from the person
9539,2020-01,-0.29771,51.54246,Theft from the person
9603,2020-01,-0.248524,51.539703,Theft from the person
9604,2020-01,-0.250599,51.540876,Theft from the person
9659,2020-01,-0.248379,51.536356,Theft from the person
9660,2020-01,-0.250893,51.537724,Theft from the person
9713,2020-01,-0.243091,51.536996,Theft from the person
9801,2020-01,-0.222506,51.529834,Theft from the person
9822,2020-01,-0.208395,51.534889,Theft from the person
9823,2020-01,-0.206394,51.536989,Theft from the person
9892,2020-01,-0.218972,51.532451,Theft from the person
10006,2020-01,-0.199478,51.532837,Theft from the person
10196,2020-01,-0.051464,51.414143,Theft from the person
10281,2020-01,-0.073049,51.417251,Theft from the person
10608,2020-01,0.016567,51.403891,Theft from the person
10609,2020-01,0.016567,51.403891,Theft from the person
10610,2020-01,0.016567,51.403891,Theft from the person
10611,2020-01,0.016567,51.403891,Theft from the person
10612,2020-01,0.016567,51.403891,Theft from the person
10613,2020-01,0.016567,51.403891,Theft from the person
10614,2020-01,0.016567,51.403891,Theft from the person
10615,2020-01,0.016567,51.403891,Theft from the person
10798,2020-01,-0.055544,51.415946,Theft from the person
10808,2020-01,0.091381,51.418488,Theft from the person
11153,2020-01,0.022789,51.398586,Theft from the person
11261,2020-01,0.018598,51.399072,Theft from the person
11262,2020-01,0.01569,51.401586,Theft from the person
11356,2020-01,0.014448,51.404089,Theft from the person
11357,2020-01,0.014448,51.404089,Theft from the person
11397,2020-01,0.114341,51.396781,Theft from the person
11943,2020-01,0.100294,51.376035,Theft from the person
12156,2020-01,0.048428,51.368158,Theft from the person
12206,2020-01,0.017096,51.375716,Theft from the person
12257,2020-01,0.059611,51.365714,Theft from the person
12360,2020-01,0.022758,51.423622,Theft from the person
12601,2020-01,-0.175121,51.555319,Theft from the person
12644,2020-01,-0.166606,51.555771,Theft from the person
12713,2020-01,-0.138889,51.555901,Theft from the person
12714,2020-01,-0.138889,51.555901,Theft from the person
12743,2020-01,-0.141898,51.554996,Theft from the person
12744,2020-01,-0.141167,51.55029,Theft from the person
12745,2020-01,-0.138952,51.557557,Theft from the person
12854,2020-01,-0.192475,51.553484,Theft from the person
12866,2020-01,-0.151348,51.554947,Theft from the person
12903,2020-01,-0.15703,51.554632,Theft from the person
12928,2020-01,-0.160233,51.54819,Theft from the person
12979,2020-01,-0.147042,51.546624,Theft from the person
12980,2020-01,-0.148346,51.548245,Theft from the person
13001,2020-01,-0.140475,51.549218,Theft from the person
13020,2020-01,-0.142388,51.546146,Theft from the person
13058,2020-01,-0.176957,51.545834,Theft from the person
13059,2020-01,-0.177538,51.545717,Theft from the person
13070,2020-01,-0.170619,51.5539,Theft from the person
13140,2020-01,-0.130306,51.549218,Theft from the person
13153,2020-01,-0.190459,51.551223,Theft from the person
13174,2020-01,-0.191712,51.550522,Theft from the person
13208,2020-01,-0.18143,51.547945,Theft from the person
13248,2020-01,-0.187378,51.547452,Theft from the person
13249,2020-01,-0.1899,51.547131,Theft from the person
13284,2020-01,-0.168403,51.544801,Theft from the person
13311,2020-01,-0.163986,51.549894,Theft from the person
13395,2020-01,-0.200399,51.549334,Theft from the person
13417,2020-01,-0.198162,51.542798,Theft from the person
13418,2020-01,-0.198162,51.542798,Theft from the person
13480,2020-01,-0.162579,51.545807,Theft from the person
13481,2020-01,-0.163639,51.544187,Theft from the person
13497,2020-01,-0.166885,51.544526,Theft from the person
13510,2020-01,-0.168847,51.542344,Theft from the person
13511,2020-01,-0.168847,51.542344,Theft from the person
13530,2020-01,-0.127242,51.544817,Theft from the person
13569,2020-01,-0.137236,51.542,Theft from the person
13590,2020-01,-0.126437,51.541936,Theft from the person
13614,2020-01,-0.128575,51.546772,Theft from the person
13615,2020-01,-0.132116,51.547296,Theft from the person
13616,2020-01,-0.128575,51.546772,Theft from the person
13658,2020-01,-0.190397,51.541501,Theft from the person
13673,2020-01,-0.178584,51.544816,Theft from the person
13674,2020-01,-0.179778,51.546345,Theft from the person
13687,2020-01,-0.178053,51.542946,Theft from the person
13718,2020-01,-0.172246,51.543189,Theft from the person
13719,2020-01,-0.175164,51.543432,Theft from the person
13720,2020-01,-0.17422,51.543939,Theft from the person
13799,2020-01,-0.146589,51.542507,Theft from the person
13800,2020-01,-0.149226,51.542909,Theft from the person
13801,2020-01,-0.148068,51.542297,Theft from the person
13802,2020-01,-0.154092,51.54348,Theft from the person
13876,2020-01,-0.14629,51.541352,Theft from the person
13877,2020-01,-0.147381,51.538977,Theft from the person
13878,2020-01,-0.150618,51.538803,Theft from the person
13914,2020-01,-0.141556,51.540728,Theft from the person
13915,2020-01,-0.140815,51.540519,Theft from the person
13951,2020-01,-0.137534,51.538578,Theft from the person
13952,2020-01,-0.139091,51.541777,Theft from the person
13953,2020-01,-0.137534,51.538578,Theft from the person
13976,2020-01,-0.136248,51.54006,Theft from the person
14005,2020-01,-0.134077,51.534971,Theft from the person
14006,2020-01,-0.135221,51.538011,Theft from the person
14038,2020-01,-0.135543,51.537207,Theft from the person
14039,2020-01,-0.135543,51.537207,Theft from the person
14082,2020-01,-0.191139,51.536971,Theft from the person
14083,2020-01,-0.191489,51.538325,Theft from the person
14264,2020-01,-0.142008,51.539189,Theft from the person
14265,2020-01,-0.142998,51.539681,Theft from the person
14266,2020-01,-0.144494,51.539768,Theft from the person
14267,2020-01,-0.142998,51.539681,Theft from the person
14268,2020-01,-0.142998,51.539681,Theft from the person
14269,2020-01,-0.144316,51.540592,Theft from the person
14270,2020-01,-0.144316,51.540592,Theft from the person
14271,2020-01,-0.14198,51.538109,Theft from the person
14272,2020-01,-0.142998,51.539681,Theft from the person
14273,2020-01,-0.144494,51.539768,Theft from the person
14274,2020-01,-0.142008,51.539189,Theft from the person
14275,2020-01,-0.144494,51.539768,Theft from the person
14276,2020-01,-0.144494,51.539768,Theft from the person
14277,2020-01,-0.142998,51.539681,Theft from the person
14278,2020-01,-0.142998,51.539681,Theft from the person
14279,2020-01,-0.142008,51.539189,Theft from the person
14280,2020-01,-0.142998,51.539681,Theft from the person
14281,2020-01,-0.142998,51.539681,Theft from the person
14282,2020-01,-0.142998,51.539681,Theft from the person
14283,2020-01,-0.142998,51.539681,Theft from the person
14284,2020-01,-0.142998,51.539681,Theft from the person
14285,2020-01,-0.142998,51.539681,Theft from the person
14286,2020-01,-0.142998,51.539681,Theft from the person
14287,2020-01,-0.142998,51.539681,Theft from the person
14288,2020-01,-0.143045,51.538162,Theft from the person
14350,2020-01,-0.138037,51.525205,Theft from the person
14351,2020-01,-0.137478,51.526186,Theft from the person
14352,2020-01,-0.139304,51.525235,Theft from the person
14415,2020-01,-0.140599,51.537323,Theft from the person
14416,2020-01,-0.138793,51.533526,Theft from the person
14417,2020-01,-0.140599,51.537323,Theft from the person
14418,2020-01,-0.140599,51.537323,Theft from the person
14419,2020-01,-0.139638,51.535437,Theft from the person
14420,2020-01,-0.140599,51.537323,Theft from the person
14421,2020-01,-0.138823,51.534912,Theft from the person
14483,2020-01,-0.135184,51.532921,Theft from the person
14544,2020-01,-0.124496,51.530565,Theft from the person
14545,2020-01,-0.123643,51.530264,Theft from the person
14546,2020-01,-0.123643,51.530264,Theft from the person
14547,2020-01,-0.123643,51.530264,Theft from the person
14548,2020-01,-0.123643,51.530264,Theft from the person
14549,2020-01,-0.123643,51.530264,Theft from the person
14550,2020-01,-0.123643,51.530264,Theft from the person
14551,2020-01,-0.124496,51.530565,Theft from the person
14552,2020-01,-0.123643,51.530264,Theft from the person
14553,2020-01,-0.123643,51.530264,Theft from the person
14554,2020-01,-0.126699,51.533442,Theft from the person
14555,2020-01,-0.123643,51.530264,Theft from the person
14556,2020-01,-0.123643,51.530264,Theft from the person
