ward_code,ward_name,local_authority,POP2011,,,,
E05000001,Aldersgate,City of London,"1,472",,,,
E05000005,Bishopsgate,City of London,226,,,,
E05000015,Cripplegate,City of London,"2,786",,,,
E05000017,Farringdon Within,City of London,278,,,,
E05000018,Farringdon Without,City of London,"1,112",,,,
E05000021,Portsoken,City of London,987,,,,
E05000022,Queenhithe,City of London,323,,,,
E05000023,Tower,City of London,228,,,,
E05000026,Abbey,Barking and Dagenham,"13,002",,,,
E05000027,Alibon,Barking and Dagenham,"10,462",,,,
E05000028,Becontree,Barking and Dagenham,"11,598",,,,
E05000029,Chadwell Heath,Barking and Dagenham,"10,041",,,,
E05000030,Eastbrook,Barking and Dagenham,"10,518",,,,
E05000031,Eastbury,Barking and Dagenham,"11,695",,,,
E05000032,Gascoigne,Barking and Dagenham,"12,590",,,,
E05000033,Goresbrook,Barking and Dagenham,"11,332",,,,
E05000034,Heath,Barking and Dagenham,"10,820",,,,
E05000035,Longbridge,Barking and Dagenham,"11,567",,,,
E05000036,Mayesbrook,Barking and Dagenham,"10,385",,,,
E05000037,Parsloes,Barking and Dagenham,"9,886",,,,
E05000038,River,Barking and Dagenham,"10,975",,,,
E05000039,Thames,Barking and Dagenham,"10,805",,,,
E05000040,Valence,Barking and Dagenham,"9,891",,,,
E05000041,Village,Barking and Dagenham,"10,848",,,,
E05000042,Whalebone,Barking and Dagenham,"10,614",,,,
E05000043,Brunswick Park,Barnet,"16,395",,,,
E05000044,Burnt Oak,Barnet,"18,270",,,,
E05000045,Childs Hill,Barnet,"20,162",,,,
E05000046,Colindale,Barnet,"17,215",,,,
E05000047,Coppetts,Barnet,"17,325",,,,
E05000048,East Barnet,Barnet,"16,164",,,,
E05000049,East Finchley,Barnet,"16,053",,,,
E05000050,Edgware,Barnet,"16,775",,,,
E05000051,Finchley Church End,Barnet,"15,770",,,,
E05000052,Garden Suburb,Barnet,"15,978",,,,
E05000053,Golders Green,Barnet,"18,914",,,,
E05000054,Hale,Barnet,"17,497",,,,
E05000055,Hendon,Barnet,"18,601",,,,
E05000056,High Barnet,Barnet,"15,323",,,,
E05000057,Mill Hill,Barnet,"18,483",,,,
E05000058,Oakleigh,Barnet,"15,824",,,,
E05000059,Totteridge,Barnet,"15,181",,,,
E05000060,Underhill,Barnet,"15,908",,,,
E05000061,West Finchley,Barnet,"16,576",,,,
E05000062,West Hendon,Barnet,"17,499",,,,
E05000063,Woodhouse,Barnet,"17,625",,,,
E05000064,Barnehurst,Bexley,"10,442",,,,
E05000065,Belvedere,Bexley,"11,994",,,,
E05000066,Blackfen and Lamorbey,Bexley,"10,630",,,,
E05000067,Blendon and Penhill,Bexley,"10,924",,,,
E05000068,Brampton,Bexley,"10,547",,,,
E05000069,Christchurch,Bexley,"10,985",,,,
E05000070,Colyers,Bexley,"11,195",,,,
E05000071,Crayford,Bexley,"11,274",,,,
E05000072,Cray Meadows,Bexley,"11,243",,,,
E05000073,Danson Park,Bexley,"10,892",,,,
E05000074,East Wickham,Bexley,"10,891",,,,
E05000075,Erith,Bexley,"12,154",,,,
E05000076,Falconwood and Welling,Bexley,"10,823",,,,
E05000077,Lesnes Abbey,Bexley,"11,383",,,,
E05000078,Longlands,Bexley,"10,429",,,,
E05000079,North End,Bexley,"11,655",,,,
