ward_code,ward_name,local_authority,POP2019
E05000026,Abbey,Barking and Dagenham,15770
E05000027,Alibon,Barking and Dagenham,10948
E05000028,Becontree,Barking and Dagenham,15261
E05000029,Chadwell Heath,Barking and Dagenham,11424
E05000030,Eastbrook,Barking and Dagenham,11584
E05000031,Eastbury,Barking and Dagenham,12824
E05000032,Gascoigne,Barking and Dagenham,12407
E05000033,Goresbrook,Barking and Dagenham,12112
E05000034,Heath,Barking and Dagenham,12072
E05000035,Longbridge,Barking and Dagenham,12825
E05000036,Mayesbrook,Barking and Dagenham,11105
E05000037,Parsloes,Barking and Dagenham,11138
E05000038,River,Barking and Dagenham,12124
E05000039,Thames,Barking and Dagenham,15695
E05000040,Valence,Barking and Dagenham,11042
E05000041,Village,Barking and Dagenham,11885
E05000042,Whalebone,Barking and Dagenham,12690
E05000043,Brunswick Park,Barnet,16674
E05000044,Burnt Oak,Barnet,19755
E05000045,Childs Hill,Barnet,22502
E05000046,Colindale,Barnet,26162
E05000047,Coppetts,Barnet,18837
E05000048,East Barnet,Barnet,17367
E05000049,East Finchley,Barnet,17591
E05000050,Edgware,Barnet,18816
E05000051,Finchley Church End,Barnet,17571
E05000052,Garden Suburb,Barnet,16784
E05000053,Golders Green,Barnet,21312
E05000054,Hale,Barnet,18729
E05000055,Hendon,Barnet,19650
E05000056,High Barnet,Barnet,16394
E05000057,Mill Hill,Barnet,20694
E05000058,Oakleigh,Barnet,17013
E05000059,Totteridge,Barnet,16315
E05000060,Underhill,Barnet,16301
E05000061,West Finchley,Barnet,18340
E05000062,West Hendon,Barnet,19484
E05000063,Woodhouse,Barnet,19578
E05000085,Alperton,Brent,16144
E05000086,Barnhill,Brent,16318
E05000087,Brondesbury Park,Brent,13120
E05000088,Dollis Hill,Brent,13710
E05000089,Dudden Hill,Brent,16091
E05000090,Fryent,Brent,13677
E05000091,Harlesden,Brent,18075
E05000092,Kensal Green,Brent,14938
E05000093,Kenton,Brent,11779
E05000094,Kilburn,Brent,17007
E05000095,Mapesbury,Brent,16594
E05000096,Northwick Park,Brent,13341
E05000097,Preston,Brent,16127
E05000098,Queens Park,Brent,14762
E05000099,Queensbury,Brent,15745
E05000100,Stonebridge,Brent,18706
E05000101,Sudbury,Brent,15462
E05000102,Tokyngton,Brent,18790
E05000103,Welsh Harp,Brent,14127
E05000104,Wembley Central,Brent,17496
E05000105,Willesden Green,Brent,17762
E05000106,Bickley,Bromley,15604
E05000107,Biggin Hill,Bromley,9841
E05000108,Bromley Common and Keston,Bromley,17115
E05000109,Bromley Town,Bromley,19801
E05000110,Chelsfield and Pratts Bottom,Bromley,14931
E05000111,Chislehurst,Bromley,16064
E05000112,Clock House,Bromley,16754
E05000113,Copers Cope,Bromley,17760
E05000114,Cray Valley East,Bromley,16913
E05000115,Cray Valley West,Bromley,17855
E05000116,Crystal Palace,Bromley,14281
E05000117,Darwin,Bromley,5363
